name_a,type_a,name_b,type_b,similarity,confidence,reason
交易的安全性,feature,交易安全,feature,0.9669,0.9,節點 A 和節點 B 的名稱語意等價，都是指交易的安全性
外圍層,feature,外部層,feature,0.9498,0.9,外圍層和外部層是同義詞
tls 協定,feature,tls 協議,feature,0.9302,1.0,tls 協定和 tls 協議是同義詞
tls,feature,tls/ssl,feature,0.9268,0.9,tls 和 tls/ssl 都指的是加密通訊協定，tls/ssl 可視為 tls 的擴展或變體
操作安全,feature,安全性,feature,0.9201,0.9,操作安全和安全性是同義詞
ip 位址協定,feature,ip協定,feature,0.9117,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址協定的概念
port 445,feature,tcp 445,feature,0.9072,0.9,節點 A 和節點 B 都指稱 TCP 通訊協定的 445 端口
預設帳號,feature,系統預設帳號,feature,0.9064,0.9,節點 A 和節點 B 的名稱語意相近，均指系統或工具的預設帳號特性
ssl安全交易協定,feature,ssl 協定,feature,0.906,0.9,節點A和節點B的名稱語意相近，均指稱SSL安全協定
堆疊,feature,堆積,feature,0.9056,0.9,堆疊和堆積在中文中是同義詞
通訊協定,feature,傳輸協定,feature,0.8956,0.9,通訊協定和傳輸協定在此語境下是同義詞
連接埠,feature,通訊埠,feature,0.8892,0.9,連接埠和通訊埠是同義詞
實體安全,feature,安全性,feature,0.8874,0.9,實體安全和安全性是同義詞
ssl/tls 交握協定,feature,tls 協定,feature,0.8844,0.9,節點 A 和節點 B 都指涉 TLS 協定的概念，且 SSL/TLS 交握協定包含了 TLS 協定
tcp連接埠,feature,通訊埠,feature,0.8843,0.9,tcp連接埠和通訊埠是同義詞
插槽 (socket),feature,插槽 (slot),feature,0.8838,0.9,插槽和slot是同義詞
http cookie,feature,cookies,feature,0.883,0.9,節點 A 和節點 B 的名稱語意等價，都是指網站使用的 cookie
ssl/tls 交握協定,feature,ssl安全交易協定,feature,0.8818,0.9,節點A和節點B的名稱語意相近，均指涉及SSL/TLS的安全協定
ssl 紀錄協定,feature,ssl 協定,feature,0.8756,0.9,節點 A 和節點 B 的名稱語意相近，ssl 紀錄協定和 ssl 協定都指涉及 ssl 的協定
ssl/tls 交握協定,feature,ssl 協定,feature,0.8743,0.9,節點 A 和節點 B 都指涉 SSL/TLS 的安全協定，名稱語意相近
金鑰儲存,feature,金鑰封存,feature,0.8675,0.9,金鑰儲存和金鑰封存是同義詞
ssl/tls 交握協定,feature,tls 協議,feature,0.8668,0.9,節點 A 和節點 B 都指涉 TLS 協議，ssl/tls 交握協定包含了 TLS 協議的內容
網路協定,feature,通訊協定,feature,0.8613,0.9,網路協定和通訊協定是同義詞
tls,feature,tls 協議,feature,0.86,0.9,節點 A 和節點 B 的名稱語意等價，tls 和 tls 協議 指稱同一個概念
堆疊,feature,堆疊 (stack),feature,0.8542,1.0,兩節點名稱語意等價，節點 B 的括號內容提供了英文標準化形式
資產安全,feature,安全性,feature,0.8525,0.9,資產安全和安全性是同義詞
加密技術,feature,加密,feature,0.8524,0.9,節點 A 和節點 B 的名稱語意等價，都是指加密的概念
多輪運算 (iteration),feature,多輪運算,feature,0.852,1.0,兩節點名稱語意等價
ip 層,feature,網際網路層,feature,0.8476,0.9,ip 層和網際網路層是同義詞
ip,feature,ip 位址,feature,0.8463,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址
交點錯誤率,feature,交叉錯誤率,feature,0.8433,0.9,交點錯誤率和交叉錯誤率是同義詞
通訊協定,feature,協定,feature,0.8389,0.9,通訊協定和協定在此語境下是同義詞
ssl 協定,feature,tls 協議,feature,0.8373,0.9,ssl 協定和 tls 協議是同義詞，tls 是 ssl 的後繼版本
連接埠號碼,feature,連接埠,feature,0.837,0.9,連接埠號碼和連接埠是相關的概念，且連接埠號碼可以被視為連接埠的特性
tls/ssl,feature,tls 協議,feature,0.8329,0.9,節點 A 和節點 B 的名稱語意相近，tls/ssl 和 tls 協議都指涉加密通訊協議
最快恢復時間,feature,故障復原時間,feature,0.8319,0.9,兩節點名稱語意等價，指稱系統或工具恢復故障的時間
ssl安全交易協定,feature,tls 協定,feature,0.8253,0.9,SSL 和 TLS 是安全交易協定的不同名稱，TLS 是 SSL 的後繼版本
權限設定,feature,使用者權限,feature,0.8198,0.9,節點 A 和節點 B 的名稱語意相近，均指涉系統中與使用者權限相關的設定
ssl安全交易協定,feature,tls 協議,feature,0.811,0.9,SSL 和 TLS 都是安全交易協定的名稱，TLS 是 SSL 的後繼版本
ipv4,feature,ip 位址,feature,0.8107,0.9,ipv4 是 ip 位址的一種特定形式
交叉錯誤率 (cer),feature,交叉錯誤率,feature,0.8102,1.0,兩節點名稱語意等價
osi 第 7 層,feature,l7 layer,feature,0.8091,1.0,OSI 第 7 層與 L7 Layer 是同義詞
埠號,feature,服務埠,feature,0.8055,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的埠號
堆疊,feature,堆積 (heap),feature,0.8038,0.9,堆疊和堆積都是描述資料結構的術語，兩者在計算機科學中指稱相同的概念
開放連接埠,feature,通訊埠,feature,0.8012,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的連接埠
非對稱加密,function,非對稱式加密,function,0.9809,0.9,節點 A 和節點 B 的名稱語意等價，都是指非對稱加密的概念
身分驗證,function,身分認證,function,0.9703,0.9,身分驗證和身分認證是同義詞
資安稽核,function,安全稽核,function,0.9218,0.9,資安稽核和安全稽核是同義詞
身份鑑別,function,身分認證,function,0.8922,0.9,身份鑑別和身分認證是同義詞
身分驗證,function,身份鑑別,function,0.8899,0.9,身分驗證和身份鑑別是同義詞
查詢功能,function,查詢,function,0.8742,0.9,查詢功能和查詢是語意等價的表達
安全事件管理,function,資安事件管理,function,0.8741,0.9,安全事件管理和資安事件管理是同義詞
計帳 (accounting),function,accounting,function,0.8727,1.0,兩節點名稱語意等價
權限管理,function,權限控管,function,0.8661,0.9,兩節點名稱語意等價，權限管理和權限控管是同義詞
解密,function,訊息解密,function,0.8546,0.9,節點 A 和節點 B 的名稱語意相近，解密和訊息解密都指涉加密訊息的解碼過程
辨識,function,辨識功能,function,0.8434,0.9,兩節點名稱語意等價
偵測層級,function,辨識層級,function,0.8386,0.9,偵測層級和辨識層級在此語境下為同義詞
雜湊,function,雜湊計算,function,0.833,0.9,雜湊和雜湊計算語意等價
網路存取控管,function,系統存取控制管理,function,0.8283,0.9,節點名稱語意相近，均指涉存取控管
安全存取控制,function,存取控管,function,0.8267,0.9,安全存取控制和存取控管是同義詞
身份驗證流程,function,身分認證,function,0.8248,0.9,身份驗證流程和身分認證是同義詞
雜湊演算法,function,雜湊計算,function,0.8234,0.9,雜湊演算法和雜湊計算語意等價
即時監看資安事件,function,資安事件監看,function,0.8206,0.9,兩節點名稱語意相近，均指資安事件的監看功能
權限管理,function,權限管理 (authorization),function,0.8206,1.0,兩節點名稱語意等價
雜湊函數,function,雜湊計算,function,0.8174,0.9,雜湊函數和雜湊計算是同義詞
保密功能,function,資料保密,function,0.8129,0.9,節點名稱語意相近，保密功能和資料保密都指涉資料的隱私保護
權限控管,function,存取控管,function,0.8026,0.9,權限控管和存取控管是同義詞，均指控管存取權限
阻絕服務攻擊 (dos),attack,阻斷服務攻擊 (dos),attack,0.9964,1.0,兩節點名稱語意等價，都是描述阻絕或阻斷服務攻擊的同義詞
阻絕服務攻擊,attack,阻斷服務攻擊,attack,0.9913,0.9,兩節點名稱語意等價，都是指阻絕或阻斷服務的攻擊行為
身份盜竊,attack,身份竊盜,attack,0.9902,0.9,身份盜竊和身份竊盜是同義詞
ic 卡攻擊,attack,ic卡攻擊,attack,0.9893,1.0,兩節點名稱語意等價
中間人攻擊(mitm),attack,中間人攻擊 (mitm),attack,0.9891,1.0,兩節點名稱語意完全相同
syn 洪水攻擊,attack,syn洪水攻擊,attack,0.9795,1.0,兩節點名稱語意等價
惡意軟體之攻擊,attack,惡意軟體攻擊,attack,0.9795,0.9,兩節點名稱語意等價，惡意軟體之攻擊和惡意軟體攻擊指稱同一概念
邏輯攻擊,attack,邏輯性攻擊,attack,0.9794,0.9,邏輯攻擊和邏輯性攻擊是語意等價的表達
未經授權存取,attack,未授權存取,attack,0.9768,0.9,兩節點名稱語意等價
未經授權存取,attack,未經授權的存取,attack,0.973,0.9,兩節點名稱語意等價
分散式阻斷服務 (ddos) 攻擊,attack,分散式阻斷服務攻擊 (ddos),attack,0.9727,1.0,兩節點名稱語意等價
分散式阻斷服務 (ddos),attack,分散式阻斷服務攻擊 (ddos),attack,0.9726,0.9,兩節點名稱語意等價，都是描述分散式阻斷服務攻擊
資料篡改,attack,資料竄改,attack,0.9723,0.9,資料篡改和資料竄改是同義詞
未授權存取,attack,未經授權的存取,attack,0.9704,0.9,節點 A 和節點 B 的名稱語意等價，都是描述未經授權的存取行為
dos/ddos 攻擊,attack,ddos 攻擊,attack,0.9696,0.9,節點 A 和節點 B 都指稱分布式拒絕服務攻擊，僅名稱略有不同
network attack,attack,網路攻擊,attack,0.9676,1.0,節點 A 和節點 B 的名稱語意等價，都是指網路攻擊的行為
篡改,attack,竄改,attack,0.961,0.9,篡改和竄改是同義詞
竊取,attack,盜竊,attack,0.9602,0.9,竊取和盜竊是同義詞
網路安全威脅,attack,網路威脅,attack,0.9587,0.9,網路安全威脅和網路威脅在攻擊行為或攻擊手法的本體論類別下語意相近
smurf attack,attack,smurf 攻擊,attack,0.9565,0.9,smurf attack 和 smurf 攻擊是同義詞
sql injection 攻擊,attack,sql injection 隱碼攻擊,attack,0.9518,0.9,兩節點名稱語意相近，sql injection 攻擊和 sql injection 隱碼攻擊都指的是利用 SQL 注入漏洞進行攻擊的行為
未授權存取,attack,非授權存取,attack,0.9517,0.9,未授權存取和非授權存取是同義詞
電腦病毒,attack,病毒,attack,0.9517,0.9,節點 A 和節點 B 的名稱語意等價，都是指電腦病毒
彩虹表攻擊,attack,彩虹攻擊,attack,0.9462,0.9,兩節點名稱語意等價，都是描述攻擊行為的同義詞
分散式阻斷服務 (ddos),attack,分散式阻斷服務 (ddos) 攻擊,attack,0.9456,0.9,兩節點名稱語意等價，都是描述分散式阻斷服務的攻擊行為
未經授權的存取,attack,非授權存取,attack,0.9447,0.9,兩節點名稱語意等價，均指未經授權的存取行為
攻擊方法,attack,攻擊手段,attack,0.9431,0.9,攻擊方法和攻擊手段是同義詞
密碼破解攻擊,attack,暴力密碼攻擊,attack,0.9392,0.9,密碼破解攻擊和暴力密碼攻擊是同義詞
未經授權存取,attack,非授權存取,attack,0.938,0.9,兩節點名稱語意等價，均指未經授權的存取行為
tcp/ip 連線劫持,attack,tcp/ip 劫持,attack,0.9365,0.9,tcp/ip 連線劫持和tcp/ip 劫持語意等價
密碼驗證攻擊,attack,密碼破解攻擊,attack,0.9333,0.9,密碼驗證攻擊和密碼破解攻擊是密碼攻擊的同義詞
隱碼攻擊,attack,資料隱碼攻擊,attack,0.9319,0.9,節點 A 和節點 B 的名稱語意相近，隱碼攻擊和資料隱碼攻擊指稱同一概念
資訊安全威脅,attack,資安威脅,attack,0.9309,0.9,兩節點名稱語意等價，都是指資訊安全方面的威脅
帳號盜用,attack,盜用帳號及密碼,attack,0.929,0.9,帳號盜用和盜用帳號及密碼指稱相同的攻擊行為
ddos 攻擊,attack,ddos攻擊,attack,0.9253,1.0,節點 A 和節點 B 的名稱語意等價
駭客攻擊,attack,駭客入侵,attack,0.9241,0.9,駭客攻擊和駭客入侵在本體論類別attack下是同義詞
駭客攻擊,attack,network attack,attack,0.9221,0.9,駭客攻擊和 network attack 都指涉網路攻擊行為
網路攻擊手法,attack,web 攻擊手法,attack,0.9194,0.9,網路攻擊手法和web攻擊手法是同義詞
釣魚攻擊,attack,釣魚式攻擊,attack,0.9189,0.9,兩節點名稱語意等價，都是指釣魚攻擊的行為
資安事件,attack,資通安全事件,attack,0.9161,0.9,兩節點名稱語意等價，資安事件和資通安全事件是同義詞
ddos攻擊,attack,ddos,attack,0.9155,0.9,節點A和節點B的名稱語意等價，都是指DDoS攻擊
帳號盜用,attack,冒用帳號,attack,0.9152,0.9,帳號盜用和冒用帳號是同義詞
網路安全威脅,attack,資安威脅,attack,0.9122,0.9,網路安全威脅和資安威脅是同義詞
dns 放大攻擊,attack,dns攻擊,attack,0.9113,0.9,dns 放大攻擊是 dns 攻擊的一種特定形式
網路攻擊手法,attack,攻擊方法,attack,0.9077,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊的方法或手法
密碼驗證攻擊,attack,暴力密碼攻擊,attack,0.9059,0.9,密碼驗證攻擊和暴力密碼攻擊是同義詞
電腦安全事件,attack,資訊安全事故,attack,0.9058,0.9,電腦安全事件和資訊安全事故是同義詞
勒索程式,attack,勒索軟體,attack,0.9036,0.9,節點 A 和節點 B 的名稱語意等價，都是指利用軟體進行勒索的行為
注入攻擊,attack,注入 (injection) 攻擊,attack,0.9023,1.0,兩節點名稱語意等價，都是指注入攻擊
udp 泛洪攻擊,attack,udp 封包攻擊,attack,0.9023,0.9,udp 泛洪攻擊和udp 封包攻擊在攻擊行為或攻擊手法的本體論類別中是語意等價的
跨網站腳本攻擊,attack,跨站腳本攻擊,attack,0.9015,0.9,兩節點名稱語意等價，跨網站腳本攻擊和跨站腳本攻擊是同義詞
病毒程式,attack,病毒,attack,0.9005,0.9,節點 A 和節點 B 的名稱語意相近，均指稱病毒相關的攻擊行為或攻擊手法
tcp syn 洪水攻擊,attack,tcp syn flood 攻擊,attack,0.9003,1.0,tcp syn 洪水攻擊和tcp syn flood 攻擊是同義詞
入侵事件,attack,入侵,attack,0.9,0.9,入侵事件和入侵是同義詞，指稱相同的攻擊行為或攻擊手法
駭客攻擊,attack,入侵攻擊,attack,0.8991,0.9,駭客攻擊和入侵攻擊在攻擊行為或攻擊手法的本體論類別下是同義詞
資料篡改攻擊,attack,資料篡改,attack,0.8974,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料篡改的攻擊行為
網路攻擊手法,attack,攻擊手段,attack,0.8968,0.9,網路攻擊手法和攻擊手段在攻擊行為或攻擊手法的本體論類別下具有相似的語意含義
冒名郵件,attack,詐騙郵件,attack,0.8966,0.9,冒名郵件和詐騙郵件都是指以假冒身份或欺騙手法進行的郵件攻擊，語意上相當接近
駭客入侵,attack,入侵攻擊,attack,0.8964,0.9,兩節點名稱語意等價，均指入侵攻擊的行為
dos/ddos 攻擊,attack,ddos攻擊,attack,0.8952,0.9,節點 A 和節點 B 都指稱分布式拒絕服務攻擊
tcp/ip 連線劫持,attack,連線劫持,attack,0.8939,0.9,節點 A 和節點 B 的名稱語意相近，tcp/ip 連線劫持是一種連線劫持的具體形式
入侵行為,attack,入侵,attack,0.8931,0.9,入侵行為和入侵是同義詞
入侵企圖,attack,入侵,attack,0.892,0.9,入侵企圖和入侵是同義詞，均指嘗試非法闖入系統或網絡
詐騙郵件,attack,欺騙電子郵件,attack,0.891,0.9,詐騙郵件和欺騙電子郵件是同義詞
重送攻擊,attack,重播攻擊,attack,0.8894,0.9,重送攻擊和重播攻擊是同義詞
病毒程式,attack,電腦病毒,attack,0.8858,0.9,節點 A 和節點 B 都指稱電腦系統中的一種攻擊行為或攻擊手法，病毒程式和電腦病毒是同義詞
釣魚攻擊,attack,網路釣魚攻擊,attack,0.8852,0.9,節點 A 和節點 B 的名稱語意相近，均指涉釣魚攻擊的概念
tcp syn 洪水攻擊,attack,syn 洪水攻擊,attack,0.8848,0.9,tcp syn 洪水攻擊和syn 洪水攻擊是同一種攻擊行為的不同表達形式
xss 攻擊,attack,跨站腳本攻擊 (xss),attack,0.8842,1.0,兩節點名稱語意等價，都是指跨站腳本攻擊
xml外部實體攻擊 (xxe),attack,xml外部實體攻擊,attack,0.884,1.0,節點 A 和節點 B 的名稱語意等價
資料篡改攻擊,attack,竄改攻擊,attack,0.8838,0.9,資料篡改攻擊和竄改攻擊是同義詞
搜尋引擎攻擊,attack,搜尋引擎攻擊 (google-hacking),attack,0.8822,0.9,兩節點名稱語意等價，都是描述搜尋引擎攻擊的行為
資料竄改,attack,竄改,attack,0.8816,0.9,資料竄改和竄改是同義詞，均指資料被非法修改的攻擊行為
阻絕服務攻擊,attack,阻絕服務攻擊 (dos),attack,0.8793,1.0,兩節點名稱語意等價
入侵攻擊,attack,入侵,attack,0.879,0.9,入侵攻擊和入侵是同義詞
阻絕服務攻擊,attack,阻斷服務攻擊 (dos),attack,0.8781,0.9,兩節點名稱語意等價，都是描述阻絕或阻斷服務攻擊的行為
電腦蠕蟲,attack,蠕蟲,attack,0.8772,0.9,電腦蠕蟲和蠕蟲在攻擊行為或攻擊手法的本體論類別下是同義詞
其他攻擊方式,attack,攻擊方法,attack,0.8767,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或手法的類別
阻斷服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8767,1.0,兩節點名稱語意等價
tcp syn 洪水攻擊,attack,syn洪水攻擊,attack,0.8741,0.9,tcp syn 洪水攻擊和 syn 洪水攻擊是同一種攻擊行為的不同表達方式
監聽攻擊,attack,竊聽攻擊,attack,0.8737,0.9,監聽攻擊和竊聽攻擊是同義詞
http 封包攻擊,attack,網路攻擊封包,attack,0.8724,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及網路封包的攻擊行為
入侵企圖,attack,入侵行為,attack,0.8721,0.9,入侵企圖和入侵行為在攻擊行為或攻擊手法的本體論類別中為同義詞
阻絕服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8721,0.9,兩節點名稱語意等價，都是指阻絕或阻斷服務的攻擊行為
電腦系統入侵事件,attack,入侵事件,attack,0.8708,0.9,兩節點名稱語意相近，均指涉入侵事件
資安事故,attack,資訊安全事故,attack,0.8704,0.9,兩節點名稱語意等價，都是指資安相關的事件
未經授權的揭露,attack,未經授權之發佈,attack,0.8682,0.9,兩節點名稱語意等價，均指未經授權的公開
惡意活動,attack,惡意行為,attack,0.8681,0.9,惡意活動和惡意行為在攻擊行為或攻擊手法的本體論類別下是同義詞
各種攻擊,attack,攻擊方法,attack,0.8672,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或攻擊手法
跨站請求偽造,attack,跨站請求偽造攻擊,attack,0.8669,0.9,兩節點名稱語意等價，指稱同一概念
跨站腳本攻擊,attack,跨站指令碼攻擊,attack,0.8658,0.9,跨站腳本攻擊和跨站指令碼攻擊是同義詞
web 攻擊手法,attack,網頁攻擊,attack,0.8641,0.9,節點 A 和節點 B 的名稱語意等價，都是指網頁攻擊的行為或手法
sql injection 攻擊,attack,注入 (injection) 攻擊,attack,0.8629,0.9,節點 A 和節點 B 的名稱語意等價，均指稱注入攻擊
木馬程式,attack,木馬後門程式,attack,0.8612,0.9,木馬程式和木馬後門程式是同義詞
外部入侵,attack,外部攻擊,attack,0.861,0.9,外部入侵和外部攻擊在攻擊行為或攻擊手法的本體論類別中是同義詞
非法存取,attack,未經授權的存取,attack,0.8606,0.9,兩節點名稱語意等價，均指未經授權的存取行為
暴力密碼攻擊,attack,暴力攻擊,attack,0.8604,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及暴力手法的攻擊行為
sql injection 隱碼攻擊,attack,sql資料隱碼攻擊,attack,0.8604,0.9,節點A和節點B的名稱語意等價，均指SQL隱碼攻擊
泛洪攻擊,attack,syn洪水攻擊,attack,0.8603,0.9,泛洪攻擊和syn洪水攻擊都是網路攻擊的一種形式，指的是大量的syn請求用於耗盡目標系統的資源
跨站請求偽造攻擊（csrf）,attack,cross-site request forgery,attack,0.8591,1.0,節點 A 和節點 B 分別是跨站請求偽造攻擊的中文和英文名稱，語意等價
偽裝攻擊,attack,偽裝攻擊 (masquerade),attack,0.8582,1.0,兩節點名稱語意等價
非法存取,attack,非授權存取,attack,0.858,0.9,非法存取和非授權存取在攻擊行為或攻擊手法的本體論類別中是同義詞
拒絕服務 (dos),attack,拒絕服務,attack,0.858,1.0,節點 A 和節點 B 的名稱語意等價
網路釣魚攻擊,attack,釣魚式攻擊,attack,0.8562,0.9,兩節點名稱語意等價，都是指釣魚攻擊的行為
ddos攻擊,attack,分散式阻斷服務 (ddos) 攻擊,attack,0.8557,1.0,節點 A 和節點 B 的名稱語意等價，都是描述 DDoS 攻擊的不同表達形式
釣魚網頁,attack,網路釣魚,attack,0.8545,0.9,節點 A 和節點 B 的名稱語意等價，均指涉網路釣魚攻擊行為
ddos 攻擊,attack,dos攻擊,attack,0.8532,0.9,ddos 攻擊和 dos 攻擊是同義詞，均指分佈式拒絕服務攻擊
重送攻擊 (replay attack),attack,重送攻擊,attack,0.8526,1.0,兩節點名稱語意等價
新的攻擊方式,attack,攻擊方法,attack,0.8524,0.9,兩節點名稱語意相近，均指涉攻擊手法或方式
釣魚攻擊（phishing）,attack,網路釣魚攻擊,attack,0.8524,0.9,節點 A 和節點 B 的名稱語意等價，都是指釣魚攻擊的行為
資料篡改攻擊,attack,資料竄改,attack,0.8522,0.9,資料篡改攻擊和資料竄改是同義詞
資料竊取,attack,竊取,attack,0.8508,0.9,資料竊取和竊取在攻擊行為或攻擊手法的本體論類別下是語意等價的
非法存取,attack,未授權存取,attack,0.8491,0.9,非法存取和未授權存取在攻擊行為或攻擊手法的本體論類別中是同義詞
資料篡改,attack,竄改,attack,0.8488,0.9,資料篡改和竄改是同義詞，均指未經授權修改資料的行為
勒索程式,attack,勒索病毒,attack,0.8478,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及勒索的惡意程式或病毒
緩衝區溢位攻擊,attack,緩衝區溢位攻擊（buffer overflow）,attack,0.8477,1.0,兩節點名稱語意等價
分散式阻斷服務攻擊,attack,分散式阻斷服務攻擊 (ddos),attack,0.8476,1.0,兩節點名稱語意等價，都是指分散式阻斷服務攻擊
郵件釣魚攻擊,attack,釣魚攻擊,attack,0.8474,0.9,節點 A 和節點 B 都描述了釣魚攻擊的概念，只是節點 A 專門指郵件形式的釣魚攻擊
詐騙,attack,詐欺攻擊,attack,0.8472,0.9,詐騙和詐欺攻擊語意相近，指稱相同的攻擊行為
釣魚攻擊（phishing）,attack,釣魚式攻擊,attack,0.8472,0.9,節點 A 和節點 B 的名稱語意等價，都是指釣魚攻擊的行為
篡改,attack,資料竄改,attack,0.8465,0.9,篡改和資料竄改是同義詞，均指修改或竄改資料的行為
資料篡改,attack,篡改,attack,0.8462,0.9,節點 A 和節點 B 的名稱語意等價，均指資料被修改的攻擊行為
系統中毒,attack,中毒,attack,0.8454,0.9,系統中毒和中毒在攻擊行為或攻擊手法的本體論類別下是語意等價的
駭客入侵,attack,入侵,attack,0.8453,0.9,駭客入侵和入侵是相關的攻擊行為，且入侵是駭客入侵的標準化形式
竊聽,attack,竊聽攻擊,attack,0.8451,0.9,竊聽和竊聽攻擊語意等價
syn flooding,attack,syn洪水攻擊,attack,0.843,0.9,syn flooding 和 syn洪水攻擊是同義詞
漏洞利用攻擊,attack,弱點利用攻擊,attack,0.8427,0.9,漏洞利用攻擊和弱點利用攻擊是同義詞
密碼驗證攻擊,attack,基於密碼的攻擊,attack,0.8426,0.9,兩節點名稱語意相近，均指涉密碼相關的攻擊行為
攻擊行為,attack,攻擊方法,attack,0.8426,0.9,攻擊行為和攻擊方法在本體論類別attack下為同義詞
跨站請求偽造攻擊,attack,跨站請求偽造攻擊（csrf）,attack,0.8423,1.0,兩節點名稱語意等價
跨網站腳本攻擊,attack,跨站腳本攻擊 (xss),attack,0.8422,0.9,兩節點名稱語意等價，都是描述跨網站腳本攻擊的不同表達方式
sql injection 攻擊,attack,sql資料隱碼攻擊,attack,0.841,0.9,sql injection 攻擊和 sql 資料隱碼攻擊是同義詞
企業機密外洩,attack,資料洩漏,attack,0.8408,0.9,企業機密外洩和資料洩漏是同義詞，均指敏感資訊的未經授權揭露
資通安全事件,attack,資訊安全事故,attack,0.8405,0.9,兩節點名稱語意相近，均指資安事件
泛洪攻擊,attack,syn 洪水攻擊,attack,0.8399,0.9,syn 洪水攻擊是泛洪攻擊的一種特定形式
惡意入侵事件,attack,電腦系統入侵事件,attack,0.8368,0.9,兩節點名稱語意相近，均指涉入侵事件
sql injection,attack,sql injection 攻擊,attack,0.836,0.9,節點 A 和節點 B 的名稱語意等價，都是指 SQL 注入攻擊
分散式阻斷服務攻擊,attack,阻斷服務攻擊 (dos),attack,0.8359,0.9,分散式阻斷服務攻擊是阻斷服務攻擊的一種特定形式
資料竊取,attack,盜竊,attack,0.8358,0.9,資料竊取和盜竊在攻擊行為或攻擊手法的本體論類別中是同義詞
跨網站腳本攻擊,attack,跨站指令碼攻擊,attack,0.8356,0.9,跨網站腳本攻擊和跨站指令碼攻擊是同義詞
連線劫持,attack,tcp/ip 劫持,attack,0.835,0.9,連線劫持和TCP/IP劫持都是描述攻擊行為中攔截和控制連線的概念
sql injection,attack,sql資料隱碼攻擊,attack,0.8346,0.9,sql injection 和 sql 資料隱碼攻擊是同義詞
未經授權存取,attack,非法存取,attack,0.8343,0.9,未經授權存取和非法存取是同義詞，均指未經授權的存取行為
電腦系統入侵事件,attack,駭客入侵,attack,0.8341,0.9,電腦系統入侵事件和駭客入侵語意相近，均指涉及未經授權的系統存取
勒索軟體攻擊,attack,勒索程式,attack,0.834,0.9,節點 A 和節點 B 的名稱語意等價，都是指利用軟體或程式進行勒索的攻擊行為
金鑰淪陷攻擊,attack,金鑰竊取攻擊,attack,0.8329,0.9,金鑰淪陷攻擊和金鑰竊取攻擊在語意上相近，均指涉及金鑰被攻擊者取得的攻擊行為
網路竊聽,attack,網路監聽,attack,0.8323,0.9,網路竊聽和網路監聽是同義詞
間諜程式,attack,間諜軟體,attack,0.832,0.9,間諜程式和間諜軟體是同義詞
syn flooding,attack,syn 洪水攻擊,attack,0.8317,0.9,syn flooding 和 syn 洪水攻擊 是同義詞
冒名郵件,attack,欺騙電子郵件,attack,0.831,0.9,節點 A 和節點 B 的名稱語意等價，都是指通過電子郵件進行欺騙的攻擊行為
勒索軟體攻擊,attack,勒索病毒,attack,0.83,0.9,節點 A 和節點 B 都指涉到利用軟體或病毒進行勒索的攻擊行為
網路竊聽,attack,竊聽攻擊,attack,0.8289,0.9,節點 A 和節點 B 的名稱語意等價，均指涉竊聽攻擊行為
隱私外洩,attack,資料洩漏,attack,0.8286,0.9,隱私外洩和資料洩漏是同義詞，均指涉及敏感信息的泄露
